"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"137.21875","45.39065458",".034985286",".134409084","3.204013378","17.17785726","7.494587933","74.0031036","0"
"93.7734375","41.88306169",".371402345","1.291231795","1.482441472","12.95905022","12.24291123","180.1588442","0"
"73.6328125","35.46121805","1.153606583","4.161082483","2.099498328","13.05747392","10.01359091","140.8941513","0"
"93.4296875","39.88316601",".602060336","1.518547854","2.475752508","14.1465779","8.770640369","107.9701728","0"
"131.625","44.11189607",".108905247",".239879418","33.88879599","70.39834229","1.68945962","1.031847457","0"
"136.0859375","48.511762","-.135097492",".430066446","1.758361204","15.98596705","11.56706427","148.9159333","0"
"76.5234375","34.08719629","2.024270196","8.131774734","7.983277592","36.657363","4.888889599","23.67535368","1"
"67.6640625","32.56178678","2.027999741","8.098344202","8.266722408","34.83890201","4.793381771","24.03204757","1"
"123.640625","47.27623848","-.178718976",".017180457","2.199832776","18.14723414","9.817278966","106.3500082","0"
"145.4375","47.01807332","-.11786034","-.154391915","13.31354515","45.37725017","3.389703137","10.35468121","0"
"117.6640625","49.13506216",".184882878","-.078819823","6.046822742","27.81417341","5.493818303","31.97879421","0"
"94.3359375","43.19419763",".515280093",".862443635","4.530100334","23.18754272","6.375536709","45.40109451","0"
"131.1328125","46.64868217",".334586834",".566602247","2.887123746","21.37751455","8.207283966","71.57354577","0"
"115.1015625","48.97397904",".181711755","-.055091121","2.511705686","16.36010003","9.076729981","98.37820498","0"
"131.3046875","47.90706475","-.003951749","-.077171134","6.438963211","33.31175012","5.432521828","29.39655189","0"
"100.7421875","42.55552367",".269209682",".564187195","2.025083612","15.7020025","9.84924321","113.1512727","0"
"97.234375","46.53635749",".558616451",".384429415","2.010033445","13.63437642","10.02234589","132.1256231","0"
"110.53125","50.3487738",".297229743","-.034614626","1.837792642","11.313063","12.35506323","225.0612123","0"
"131.6796875","49.26172665",".150394783","-.27476826","2.58361204","19.7993412","8.163108156","69.78019444","0"
"130.296875","43.72452104",".239299953",".773894519","3.327759197","21.93898346","7.633627793","63.68797889","0"
"100.921875","50.27185616",".674764703",".375486851","1.31270903","14.08879648","12.47315047","170.3163568","0"
"140.0703125","52.88980047","-.054403887","-.280239552","2.944816054","18.1629644","8.117147009","77.45567845","0"
"109.515625","55.51210234","-.035382098","-.385740784","2.029264214","16.25913625","10.23665999","117.9704993","0"
"117.3515625","46.74391502",".077633445",".245930698","3.260869565","19.96344085","7.897635851","72.27108382","0"
"116.1171875","49.98321923",".088895868","-.037392548","2.388795987","20.25688309","9.384315201","93.54150264","0"
"104.7890625","38.67829098",".238756232","1.24360488","1.656354515","14.31062945","11.44668289","153.0117113","0"
"96.203125","45.11172924",".773959568","1.435801239","2.346153846","14.86726928","9.468970583","112.1365151","0"
"155.515625","45.6362973","-.250418306",".392090588","23.2909699","59.90103839","2.301092596","3.570090979","0"
"42.578125","46.63833746","2.841558376","7.832819342","12.97157191","38.49884932","3.799727502","14.99083404","1"
"60.6328125","47.56473731","2.401280557","5.858265485","93.58695652","89.54225828",".383887223","-1.31902556","1"
"65.2265625","35.69690437","2.291890704","10.11847881","15.51505017","48.87242564","3.185366727","9.164035552","1"
"125.234375","37.3267842","-.171089324","1.759547472",".595317726","10.08617277","19.64138175","424.7721695","0"
"137.671875","52.63807875","-.006741335","-.483954786","1.915551839","15.44248339","9.68587082","108.7586053","0"
"72.3203125","37.21935266",".885005976","3.060119543","2.487458194","15.3319134","8.515076781","92.9009492","0"
"169.5390625","57.06067253","-1.082567379",".624954452","127.6362876","94.41068219","-.276184541","-1.578509451","0"
"142.359375","49.66650254","-.056778507","-.091045708","2.95735786","16.58536308","8.54080181","92.47603748","0"
"106.1875","31.99993896",".876430624","3.429234258","1.485785953","11.68248977","12.58049824","214.6180301","0"
"41.2109375","31.94664799","3.887521273","19.89781024","88.33361204","78.91144803",".588461918","-.807271674","1"
"89.9140625","39.33887775",".557590962","1.523933611","1.327759197","15.19289347","13.04817297","183.0110824","0"
"8.2265625","32.5579327","5.896484313","35.28723836","184.5259197","62.91485857","-1.019263452",".176960674","1"
"107.5390625","86.95139648","-.008927546","-1.676724149","211.9489967","54.01031031","-2.556795187","5.768457521","0"
"168.2734375","39.96614091","-.627492923","1.640910525","2.086120401","13.54165287","10.78893346","153.0203378","0"
"117.9140625","50.38430859",".590232622",".373170488","1.185618729","12.3220712","13.38378011","211.4591628","0"
"98.3671875","50.30591899",".409147253",".073141345",".842809365","11.2356355","16.35994665","301.2815193","0"
"79.8125","38.17143688",".771429533","2.235645796","5.31270903","27.87623517","5.623427742","32.60633712","0"
"78.2890625","36.39586007",".832017508","3.126514262","1.403846154","11.30542617","13.6333761","246.7427472","0"
"141.625","48.54170243","-.049849941",".173094349","6.391304348","28.451403","5.169073396","28.18852697","0"
"128.265625","46.32738195","-.060033661","-.139937287","152.958194","74.57931015","-1.17023022",".038816673","0"
"108.53125","50.35529042",".467777239",".45805371","2.280100334","16.37849675","8.963557937","94.2886614","0"
"104.5078125","50.27440267",".268410223","-.169219124","1.72993311","17.0579812","11.70664214","147.0344346","0"
"100.6484375","34.79057654",".613326184","2.178786108","3.492474916","25.76263096","7.730307834","60.32718532","0"
"147.546875","54.57776267","-.131181187","-.270214665","3.581103679","19.26928372","6.861519073","55.62109202","0"
"137.7265625","43.60345364",".125156547",".331912646","2.95735786","16.82819007","8.143903219","83.31886616","0"
"104.46875","49.46730889",".328236045","-.094803479","2.026755853","15.99339182","10.00412717","115.1046407","0"
"110.515625","48.99361954",".1209765","-.216995758","1.423913043","15.79419467","12.3327067","159.8221244","0"
"126.515625","45.00850343",".125082277",".240095781","1.765050167","15.93367784","12.01973362","163.4455738","0"
"120.421875","47.22893204",".203304304",".186340061","1.608695652","14.96307801","12.23257712","168.9009654","0"
"116.6015625","47.04574566",".282335975",".098851382","2.549331104","16.840539","8.469272543","85.32885895","0"
"112.9140625","53.24677621",".292680802","-.220829017","1.910535117","17.21663627","10.44684223","117.3494896","0"
"69.2109375","45.26616637","2.024290832","4.485091033","2.546822742","18.20122515","9.997592919","109.1223064","1"
"100.2578125","47.57021884",".479196448",".876418897","5.2090301","31.04856136","6.075504187","36.24292221","1"
"135.4140625","44.58761167",".022409783",".686494467","3.001672241","19.19221546","8.135407752","75.93681641","0"
"116.765625","42.86415394",".129512009","1.454496183","3.844481605","20.60520508","6.229303249","44.61108743","0"
"95.7734375","40.32857525",".269330967",".947745352","1.489966555","15.88437737","11.43541171","137.1097375","0"
"132.296875","42.92259737",".051047905",".653614389","1.93812709","13.05543306","10.76677732","154.3763954","0"
"86.2734375","38.8250714",".79835976","1.919903754","3.158026756","18.74336299","7.375990228","64.21722463","0"
"134.40625","49.94269177","-.086435811","-.352991161","1.350334448","11.5188594","13.42282403","234.4747022","0"
"119.328125","63.09295095",".499195626","-.833814009","43.53929766","72.11768736","1.359367647",".353693493","0"
"114.4140625","55.04167843",".13479343","-.257121664","2.574414716","15.83221962","8.652778012","92.32657762","0"
"118.015625","40.63711057",".064429863","1.498732634","1.122909699","10.0431732","16.32523496","357.7350346","0"
"89.1484375","57.35322161","1.344685463","1.19488873","20.88712375","57.08814813","2.596657076","5.315686965","0"
"14.90625","29.39053778","7.210660828","53.02646526","124.2617057","75.63747526","-.119869958","-.972970887","1"
"123.2734375","49.44895013",".211980793",".033918175","4.099498328","18.71309433","6.03065663","46.74034972","0"
"40.7890625","30.65678258","5.113481058","32.75232488","55.21237458","78.39269585","1.161472115",".003675747","1"
"11.9765625","29.57761634","7.550921894","56.53774698","128.0200669","73.431466","-.124471665","-.899232451","1"
"124.0390625","53.62899203","-.125473151","-.488166109","6.136287625","26.68556512","4.898881291","25.68613431","0"
"125.171875","52.30635558",".056571872","-.360770123","2.132107023","12.44563855","10.251278","158.1902038","0"
"117.40625","54.76375933",".312302792","-.561862455","4.888795987","26.52531147","6.27090405","41.65291446","0"
"113.6796875","51.26599348",".386330333",".075327085","1.72993311","15.26345474","10.94824447","135.8835858","0"
"99.8359375","39.32432798",".585856718","1.208628068","2.169732441","15.91723326","9.750990636","112.6339385","1"
"108.3984375","44.41975557",".306865023",".185841167","1.845317726","15.02340381","10.42693409","126.739185","0"
"131.7421875","42.35974026","-.078131312",".176319321","1.304347826","13.24237704","12.08276419","169.0792518","0"
"161.828125","39.06387185","-.305095379","1.526261361","4.260033445","24.2733894","7.132636057","54.6937334","0"
"142.34375","47.35494917","-.00808463","-.167411327","1.392976589","13.72920443","13.52875757","213.8294195","0"
"124.90625","46.0835582",".242654966",".425353849","2.946488294","18.89498737","7.916961183","74.50910646","0"
"124.53125","47.20681517","-.116539754",".259115055","4.403846154","25.72071414","6.578057504","46.23590602","0"
"72.46875","34.18788562",".863578375","5.009373781","3.546822742","21.86321834","7.15143955","55.45981706","0"
"81.8203125","35.39209693","1.015847131","3.733023787","2.549331104","21.18243912","8.808880917","79.95013023","0"
"101.8828125","44.3016332",".584880434",".72299483","2.64548495","19.53976491","9.101964353","90.41987814","0"
"19.9609375","34.09646296","5.504910883","31.0998767","125.264214","82.36350068","-.141533847","-1.150789277","1"
"98.46875","38.37763377",".444189992","1.620170107","2.318561873","15.33493476","10.59863698","141.6794575","0"
"136.2734375","47.59607305","-.273207318",".099544678","2.664715719","17.71986941","8.500179149","81.7503001","0"
"122.3828125","49.52368769",".358478083",".073933477","4.87458194","26.47487588","6.005516223","37.7959615","0"
"121.7734375","53.42813731",".198331293","-.310435103","6.926421405","30.52877809","5.103384105","27.58597695","0"
"112.2265625","45.44660584",".07272786","-.132359935","2.131270903","16.26017537","10.64872312","129.2962324","0"
"130.765625","52.47298179",".097267191","-.163546267","2.294314381","15.98123904","10.78479534","139.0383216","0"
"136.5625","43.39692349","-.139098223",".075405609","8.441471572","39.11924253","4.635267992","20.39694808","0"
"102.3203125","45.57410408",".321909203",".379147593","4.402173913","22.54014543","6.377098143","47.25639647","0"
"37.6640625","39.51290876","3.495256736","13.13504707","7.785117057","27.56202757","5.014885742","29.18375371","1"
"131.796875","46.75490606",".131259591","-.270822244","1.574414716","16.27831665","11.86690422","151.0970462","0"
"116.0078125","31.4837498",".298094479","3.10237252","4.201505017","26.2221733","6.450990923","41.88590782","0"
"93.5078125","36.70639337",".657896372","2.33124416","3.571070234","23.76914752","7.232109468","54.29956407","0"
"96.484375","45.56125416",".396412872",".283296343","7.816053512","32.08623325","4.410365663","19.79754693","0"
